swan_ID,year,fall_mig_onset,spring_arrival,spring_arrival_comment,mig_duration,mig_duration_comment,fall_mig_onset_comment
7C,7C-2021-2022,116.8203669,225.5012478,NA,108.68088089999999,NA,NA
7C,7C-2022-2023,173.4965107,223.4972434,NA,50.000732700000015,NA,NA
0T_2nd,0T_2nd-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
0T_2nd,0T_2nd-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
8C,8C-2020-2021,172.4986621,250.5021371,NA,78.00347500000001,NA,NA
8C,8C-2021-2022,NA,256.5006536,NA,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
8C,8C-2022-2023,152.4998787,236.4978468,NA,83.99796809999998,NA,NA
4P,4P-2020-2021,140.4978745,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
4P,4P-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
0P,0P-2020-2021,125.5023665,252.4975226,NA,126.9951561,NA,NA
0P,0P-2021-2022,120.5020802,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
0E_2nd,0E_2nd-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
6L_2nd,6L_2nd-2021-2022,144.5012458,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
9H_2nd,9H_2nd-2021-2022,115.7418541,265.5009655,NA,149.7591114,NA,NA
9H_2nd,9H_2nd-2022-2023,131.4848732,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
2H_2nd,2H_2nd-2021-2022,157.9928577,259.4998146,NA,101.50695689999998,NA,NA
2H_2nd,2H_2nd-2022-2023,134.0603389,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
9P,9P-2021-2022,118.6769586,246.4994891,NA,127.8225305,NA,NA
8N,8N-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
9N,9N-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
9N,9N-2022-2023,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
4M,4M-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
4M,4M-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
5M,5M-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
5M,5M-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
5P,5P-2021-2022,141.4818672,245.5002213,NA,104.01835409999998,NA,NA
6M,6M-2021-2022,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
6M,6M-2022-2023,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
7M,7M-2022-2023,NA,NA,no spring arrival date because less than 3 intercepts,NA,need at least 3 intercepts to get migration duration,NA
8M,8M-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
8M,8M-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
6R_2nd,6R_2nd-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
6R_2nd,6R_2nd-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
0L_2nd,0L_2nd-2021-2022,159.5016464,248.4950257,NA,88.99337930000002,NA,NA
0L_2nd,0L_2nd-2022-2023,169.5017669,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
8E_2nd,8E_2nd-2021-2022,85.98518302,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
8E_2nd,8E_2nd-2022-2023,140.503952,245.5075506,NA,105.0035986,NA,NA
7P,7P-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
7P,7P-2022-2023,NA,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
8P,8P-2021-2022,87.50116204,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
9M,9M-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
9C,9C-2021-2022,78.55462291,223.4964551,NA,144.94183218999999,NA,NA
0C_2nd,0C_2nd-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
0C_2nd,0C_2nd-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
5H_2nd,5H_2nd-2021-2022,135.4510543,281.4288297,NA,145.97777539999998,NA,NA
5H_2nd,5H_2nd-2022-2023,115.1377403,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
6P,6P-2021-2022,146.5766204,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA
0N_2nd,0N_2nd-2021-2022,169.5013534,248.495694,NA,78.99434059999999,NA,NA
0N_2nd,0N_2nd-2022-2023,139.3775063,267.5006603,NA,128.123154,NA,NA
6C_2nd,6C_2nd-2022-2023,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall"
7,7L-2021-2022,NA,284,NA,NA,lack of fall departure and/or spring arrival,swan collared already on wintering
7,7L-2022-2023,140,NA,Incomplete data coverage,NA,lack of fall departure and/or spring arrival,NA
8,8L-2021-2022,NA,279,NA,NA,lack of fall departure and/or spring arrival,swan collared already on wintering
8,8L-2022-2023,134,284,NA,150,NA,NA
9,9L-2021-2022,NA,287,NA,NA,lack of fall departure and/or spring arrival,swan collared already on wintering
9,9L-2022-2023,128,NA,Incomplete data coverage,NA,lack of fall departure and/or spring arrival,NA
